,feature,importance
20,gspd,0.3967522
31,earned gpm,0.18100142
15,kills,0.051832236
18,team kpm,0.028035518
17,assists,0.024917763
16,deaths,0.023499114
19,ckpm,0.02023269
25,elementaldrakes,0.015210258
24,dragons,0.015139241
54,damagetakenperminute,0.011793181
9,winrate_pick5,0.011228686
21,gpr,0.0109047955
55,damagemitigatedperminute,0.010457993
8,winrate_pick4,0.009681316
34,goldat25,0.009668438
43,controlwardsbought,0.009536424
29,firsttothreetowers,0.009371882
36,golddiffat20,0.009282003
46,monsterkills,0.007860426
53,damagetochampions,0.007697383
39,xpdiffat25,0.0069686323
0,pick1_encoded,0.0067325467
5,winrate_pick1,0.00633781
44,cspm,0.0063077346
33,goldat20,0.0062950603
1,pick2_encoded,0.0062346268
40,wardsplaced,0.0059507163
10,count_pick1,0.0055553247
7,winrate_pick3,0.0054685585
51,csat25,0.0051583904
22,gamelength,0.0050728736
32,goldat15,0.00496069
41,visionscore,0.004959931
38,xpdiffat20,0.004835799
13,count_pick4,0.004484642
45,minionkills,0.004372051
47,csat15,0.0042319973
42,wardskilled,0.0041766916
12,count_pick3,0.0039788913
49,csat20,0.0039121686
35,golddiffat15,0.0038785918
6,winrate_pick2,0.0033086725
26,firstherald,0.0032770624
14,count_pick5,0.0028637603
48,csdiffat15,0.0028623892
27,heralds,0.0025238968
11,count_pick2,0.0025027676
50,csdiffat20,0.002450661
23,firstblood,0.0021002132
2,pick3_encoded,0.0014692238
4,pick5_encoded,0.0014561135
3,pick4_encoded,0.0010937629
37,golddiffat25,0.000114772905
30,turretplates,0.0
28,barons,0.0
52,csdiffat25,0.0
