,pick1_encoded,pick2_encoded,pick3_encoded,pick4_encoded,pick5_encoded,winrate_pick1,winrate_pick2,winrate_pick3,winrate_pick4,winrate_pick5,count_pick1,count_pick2,count_pick3,count_pick4,count_pick5,kills,deaths,assists,team kpm,ckpm,gspd,gpr,gamelength,firstblood,firstdragon,dragons,elementaldrakes,firstherald,heralds,firstbaron,barons,firsttower,firstmidtower,firsttothreetowers,turretplates,earned gpm,goldat15,goldat20,goldat25,golddiffat15,golddiffat20,golddiffat25,xpdiffat20,xpdiffat25,wardsplaced,visionscore,wardskilled,controlwardsbought,cspm,minionkills,monsterkills,csat15,csdiffat15,csat20,csdiffat20,csat25,csdiffat25,damagetochampions,damagetakenperminute,damagemitigatedperminute
1079,4,42,9,74,37,0.1,0.0,0.391304347826087,0.4210526315789473,0.3125,10.0,8.0,23.0,19.0,32.0,6,17,9,0.2063,0.7908,-0.107645,-1.34,1745,1,0,1,1,1,1,0,0,0,0,0,1,954.361,24725,33635,41905,-964,35,-4504,459,-5180,104,233,35,33,31.4957,768,148,501,-77,683,-70,844,-69,49380,3298.3496,3414.086
1077,52,7,18,92,6,0.3076923076923077,0.2972972972972973,0.0,0.0,0.2916666666666667,26.0,37.0,1.0,4.0,24.0,5,23,10,0.1775,0.9941,-0.155455,-2.88,1690,0,0,0,0,0,0,0,0,1,0,0,0,920.3432,23710,33073,40527,-2445,-3367,-10159,-4869,-12219,92,231,46,47,31.5621,742,147,529,-58,717,-48,818,-74,56855,3574.6509,3147.1243
1248,7,56,110,0,58,0.56,0.5757575757575758,0.4814814814814814,0.631578947368421,0.4166666666666667,25.0,33.0,27.0,19.0,12.0,16,9,48,0.3097,0.4839,0.120542,1.08,3100,1,0,3,2,1,1,0,1,1,1,1,8,1252.6645,27207,36384,44654,3581,4462,3783,773,404,195,560,131,79,33.9677,1460,295,553,-12,756,-20,961,-44,102590,2784.2323,4169.2645
1915,9,41,36,64,129,0.6296296296296297,0.45,0.65625,0.5,0.0,27.0,20.0,32.0,4.0,1.0,3,9,6,0.0905,0.3622,-0.142713,-2.44,1988,0,1,2,2,0,0,0,0,0,0,1,12,1008.8934,26049,33843,42009,-3168,-4134,-5276,-545,667,117,254,45,44,34.7384,960,191,512,-35,699,-52,908,-59,40730,2724.9899,2860.1408
285,31,78,57,25,99,0.1428571428571428,0.0666666666666666,0.0909090909090909,0.0,0.375,14.0,15.0,11.0,8.0,8.0,7,13,18,0.1639,0.4682,-0.0956538,-1.8,2563,1,0,4,4,0,1,0,0,0,1,0,0,963.6052,22619,30562,38239,-488,-2806,-2277,-594,1874,0,372,77,70,32.4698,1140,247,511,4,684,4,826,-19,97108,3685.9852,3865.2126
945,65,7,72,3,75,0.6521739130434783,0.65,0.6785714285714286,0.5789473684210527,0.7272727272727273,23.0,60.0,28.0,19.0,11.0,9,20,20,0.3107,1.0012,-0.0711911,-0.75,1738,1,0,0,0,0,1,0,0,0,1,0,2,952.267,23660,33676,41264,-2039,196,-5109,-362,-6846,90,203,42,41,31.3119,777,130,494,-38,659,-22,824,-35,51782,3156.7664,3926.7894
1251,61,7,67,74,41,0.5652173913043478,0.5348837209302325,0.7142857142857143,0.6842105263157895,0.5,23.0,43.0,21.0,38.0,34.0,15,8,40,0.4902,0.7516,0.0152427,-0.01,1836,0,1,4,4,1,1,1,1,1,0,0,4,1248.2026,24881,32991,42568,1051,-1982,-765,-1968,-706,128,306,60,43,34.8693,877,190,596,33,763,4,966,15,75082,2852.4837,3721.0458
67,36,38,20,76,2,0.2727272727272727,0.2142857142857142,0.25,0.28,0.0,11.0,14.0,4.0,25.0,7.0,14,10,32,0.3922,0.6723,0.0809494,1.39,2142,1,1,3,3,1,2,1,1,1,1,0,2,1075.2101,22523,33338,43531,-450,2105,3751,895,2458,127,268,47,61,29.6078,895,162,479,-9,657,12,799,22,101511,4002.6611,2885.6303
363,25,35,96,76,48,0.5789473684210527,0.6896551724137931,0.3888888888888889,0.5806451612903226,0.25,19.0,29.0,18.0,31.0,4.0,23,8,52,0.8955,1.207,0.301651,3.81,1541,0,1,4,4,1,2,1,1,1,1,1,7,1509.4614,27377,38869,52423,3638,6670,14097,1882,12196,97,215,31,40,34.0299,699,175,500,47,680,52,860,108,79414,2825.1785,2446.1778
1223,53,21,52,80,37,0.2857142857142857,0.4444444444444444,0.2962962962962963,0.3684210526315789,0.3125,7.0,9.0,27.0,38.0,32.0,22,8,72,0.5692,0.7762,0.118212,2.88,2319,1,1,5,4,1,1,1,2,1,1,1,4,1382.3286,26052,36290,46472,2803,4183,5265,1867,2322,140,398,103,68,32.8072,1049,219,539,29,721,21,890,37,114212,3412.3674,4746.0802
